"WHO_Code","ADM0NAME","LastCaseDate","LastDeathDate","CasesTotal","CasesN1","CasesN2","CasesN3","CasesN4","CasesN5","DeathsTotal","DeathsN1","DeathsN2","DeathsN3","DeathsN4","DeathsN5","STATUS","REVIEW"
"CZH","CZECH REPUBLIC","2021-01-18","2021-01-18",891852.00,2693.00,5253.00,56398.00,145138.00,264329.00,14449.00,111.00,123.00,1177.00,2379.00,4038.00,"COMMUNITY","GOOD"
"DEN","DENMARK","2021-01-18","2021-01-18",189088.00,889.00,879.00,7602.00,20377.00,54654.00,1775.00,28.00,27.00,205.00,401.00,740.00,"COMMUNITY","REVISION"
"DEU","GERMANY","2021-01-18","2021-01-18",2040659.00,7141.00,13882.00,119635.00,265146.00,530007.00,46633.00,214.00,445.00,5947.00,12059.00,20358.00,"COMMUNITY","REVISION"
"EST","ESTONIA","2021-01-18","2021-01-18",37344.00,265.00,388.00,3539.00,7823.00,15261.00,333.00,8.00,5.00,46.00,82.00,152.00,"CLUSTERS","GOOD"
"FIN","FINLAND","2021-01-16","2021-01-16",39911.00,,,1321.00,3139.00,7329.00,618.00,,,32.00,57.00,129.00,"COMMUNITY","GOOD"
"FRA","FRANCE","2021-01-18","2021-01-18",2910989.00,16642.00,21406.00,127733.00,255261.00,437635.00,70283.00,141.00,193.00,2533.00,5246.00,9734.00,"COMMUNITY","REVISION"
"GEO","GEORGIA","2021-01-18","2021-01-18",247915.00,110.00,780.00,8135.00,18152.00,38453.00,2958.00,25.00,17.00,162.00,330.00,818.00,"COMMUNITY","GOOD"
"GRE","GREECE","2021-01-18","2021-01-18",148607.00,237.00,510.00,3869.00,8508.00,17535.00,5469.00,28.00,20.00,206.00,512.00,1297.00,"COMMUNITY","REVISION"
"HUN","HUNGARY","2021-01-18","2021-01-18",352703.00,875.00,1241.00,9047.00,23852.00,47573.00,11409.00,68.00,77.00,684.00,1432.00,3117.00,"COMMUNITY","REVISION"
"ICE","ICELAND","2021-01-16","2020-12-29",5956.00,0.00,0.00,66.00,161.00,314.00,29.00,0.00,0.00,,,1.00,"COMMUNITY","GOOD"
"IRE","IRELAND","2021-01-18","2021-01-18",172726.00,2946.00,3232.00,25113.00,70839.00,93184.00,2608.00,13.00,59.00,264.00,349.00,450.00,"COMMUNITY","REVISION"
"ISR","ISRAEL","2021-01-18","2021-01-18",544791.00,5060.00,8408.00,58152.00,108859.00,171540.00,3981.00,41.00,40.00,308.00,554.00,878.00,"COMMUNITY","GOOD"
"ITA","ITALY","2021-01-18","2021-01-18",2381277.00,12544.00,16310.00,104786.00,225831.00,428092.00,82177.00,377.00,475.00,3422.00,6845.00,13378.00,"CLUSTERS","REVISION"
"KAZ","KAZAKHSTAN","2021-01-17","2021-01-17",215947.00,,1020.00,5861.00,11654.00,23368.00,2956.00,,71.00,71.00,111.00,287.00,"CLUSTERS","REVISION"
"KGZ","KYRGYZSTAN","2021-01-18","2021-01-18",83178.00,69.00,123.00,798.00,1790.00,3924.00,1387.00,3.00,2.00,16.00,27.00,57.00,"CLUSTERS","GOOD"
"LIE","LIECHTENSTEIN","2021-01-16","2021-01-12",2441.00,,,62.00,220.00,716.00,40.00,,,2.00,7.00,18.00,"SPORADIC","GOOD"
"LTU","LITHUANIA","2021-01-18","2021-01-18",167992.00,476.00,836.00,7546.00,20005.00,53500.00,2469.00,24.00,31.00,237.00,494.00,1128.00,"COMMUNITY","REVISION"
"LUX","LUXEMBOURG","2021-01-18","2021-01-17",48844.00,87.00,135.00,864.00,1925.00,4353.00,552.00,0.00,3.00,19.00,46.00,108.00,"COMMUNITY","GOOD"
"LVA","LATVIA","2021-01-18","2021-01-18",55664.00,567.00,1031.00,6096.00,13167.00,24724.00,978.00,17.00,41.00,129.00,298.00,539.00,"COMMUNITY","REVISION"
